Rasterizer state bi=2 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=2 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=2 ri=3 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=2 ri=4 => RasterizerDesc { fill_mode: Wireframe, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=2 ri=5 => RasterizerDesc { fill_mode: Wireframe, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=2 ri=6 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=2 ri=7 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=2 ri=8 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 5, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=0 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=3 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=4 => RasterizerDesc { fill_mode: Wireframe, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=5 => RasterizerDesc { fill_mode: Wireframe, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=6 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=7 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=3 ri=8 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 10, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 4.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=0 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=3 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=4 => RasterizerDesc { fill_mode: Wireframe, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=5 => RasterizerDesc { fill_mode: Wireframe, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=6 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=7 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=4 ri=8 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 15, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 6.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=0 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=3 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=4 => RasterizerDesc { fill_mode: Wireframe, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=5 => RasterizerDesc { fill_mode: Wireframe, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=6 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=7 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=5 ri=8 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 20, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 8.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=0 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=3 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=4 => RasterizerDesc { fill_mode: Wireframe, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=5 => RasterizerDesc { fill_mode: Wireframe, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=6 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=7 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=6 ri=8 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 2, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: 2.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=7 ri=0 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: -1, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: -2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=7 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: -1, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: -2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=7 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: -1, depth_bias_clamp: 10000000000.0, slope_scaled_depth_bias: -2.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
